Item Number,Glid,batch_builder_type,Submitted Date,Glid Type
62003980 DL7 WHT,CB179742,IPPS,1/27/2021 6:14,Parent Glid
62550266,PH65213,IPPS,5/23/2024 3:55,Parent Glid
62711521,CB290152,IPPS,8/28/2023 1:04,Parent Glid
62711521,CB290152,SB,6/29/2021 11:51,Parent Glid
62711521,CB573633A,IPPS,8/28/2023 1:04,Additional Glid
62711521,CB573633A,SB,6/29/2021 11:51,Additional Glid
62711521,CB573634A,IPPS,8/28/2023 1:04,Additional Glid
62711521,CB573634A,SB,6/29/2021 11:51,Additional Glid
62754251 WHT,CB430628A,IPPS,3/27/2024 7:04,Parent Glid
62754251 WHT,CB430628A,SB,10/25/2021 8:52,Parent Glid
62754732,CB408832,IPPS,10/16/2023 3:21,Parent Glid
62754732,CB408832,SB,8/16/2022 10:11,Parent Glid
62754732,CB414320,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414320,SB,8/16/2022 10:11,Additional Glid
62754732,CB414321,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414321,SB,8/16/2022 10:11,Additional Glid
62754732,CB414322,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414322,SB,8/16/2022 10:11,Additional Glid
62754732,CB414325,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414325,SB,8/16/2022 10:11,Additional Glid
62754732,CB414326,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414326,SB,8/16/2022 10:11,Additional Glid
62754732,CB414327,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414327,SB,8/16/2022 10:11,Additional Glid
62754732,CB414328,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414328,SB,8/16/2022 10:11,Additional Glid
62754732,CB414330,IPPS,10/16/2023 3:21,Additional Glid
62754732,CB414330,SB,8/16/2022 10:11,Additional Glid
62754733,CB408954,IPPS,1/25/2023 15:15,Parent Glid
62754733,CB408954,SB,8/16/2022 10:18,Parent Glid
62754736,CB412143A,IPPS,8/16/2022 11:15,Parent Glid
62754736,CB412143A,SB,8/16/2022 10:19,Parent Glid
62754736,CB467325A,IPPS,8/16/2022 11:15,Additional Glid
62754736,CB467325A,SB,8/16/2022 10:19,Additional Glid
62754743,CB408952,IPPS,6/27/2023 4:26,Parent Glid
62754743,CB408952,SB,3/4/2021 10:57,Parent Glid
62754743,CB414332,IPPS,6/27/2023 4:26,Additional Glid
62754743,CB414332,SB,3/4/2021 10:57,Additional Glid
62754743,CB414336,IPPS,6/27/2023 4:26,Additional Glid
62754743,CB414336,SB,3/4/2021 10:57,Additional Glid
62754755,CB411963,IPPS,6/26/2023 2:06,Parent Glid
62754755,CB411963,SB,6/29/2021 11:51,Parent Glid
62754755,CB416081,IPPS,6/26/2023 2:06,Additional Glid
62754755,CB416081,SB,6/29/2021 11:51,Additional Glid
62754755,CB424246,IPPS,6/26/2023 2:06,Additional Glid
62754755,CB424246,SB,6/29/2021 11:51,Additional Glid
62754758,CB408834,SB,4/13/2020 11:10,Parent Glid
62754771,CB408941,IPPS,6/30/2023 5:00,Additional Glid
62754771,CB408942,IPPS,6/30/2023 5:00,Additional Glid
62754771,CB408953,IPPS,6/30/2023 5:00,Parent Glid
62754782,CB408938,IPPS,8/16/2022 11:23,Parent Glid
62754782,CB408938,SB,8/16/2022 10:20,Parent Glid
62755280,CB437036,SB,4/13/2020 11:04,Parent Glid
62758767 WHT,CB430631A,IPPS,4/23/2024 11:23,Parent Glid
62758767 WHT,CB430631A,SB,3/4/2021 11:16,Parent Glid
62758935,CB438253,SB,8/16/2022 10:21,Parent Glid
62758935,CB438258,SB,8/16/2022 10:21,Additional Glid
62758935,CB438260,SB,8/16/2022 10:21,Additional Glid
62759440,CB442162A,IPPS,6/27/2023 5:01,Parent Glid
62759440,CB442162A,SB,6/15/2022 12:56,Parent Glid
62759440,CB500047A,IPPS,6/27/2023 5:01,Additional Glid
62759440,CB500047A,SB,6/15/2022 12:56,Additional Glid
62759440,CB500051A,IPPS,6/27/2023 5:01,Additional Glid
62759440,CB500051A,SB,6/15/2022 12:56,Additional Glid
62760474,CB461123A,IPPS,6/26/2023 22:49,Parent Glid
62760474,CB522872A,IPPS,6/26/2023 22:49,Additional Glid
62760474,CB522874A,IPPS,6/26/2023 22:49,Additional Glid
62762051,CB470974A,IPPS,6/27/2023 4:17,Parent Glid
62762051,CB470974A,SB,6/29/2021 11:50,Parent Glid
62762051,CB482345A,IPPS,6/27/2023 4:17,Additional Glid
62762051,CB482345A,SB,6/29/2021 11:50,Additional Glid
62762051,CB482350A,IPPS,6/27/2023 4:17,Additional Glid
62762051,CB482350A,SB,6/29/2021 11:50,Additional Glid
62763869,CB492758A,IPPS,2/24/2022 1:00,Parent Glid
62763869,CB492758A,SB,1/27/2021 6:30,Parent Glid
62763869,CB501252A,IPPS,2/24/2022 1:00,Additional Glid
62763869,CB501252A,SB,1/27/2021 6:30,Additional Glid
62763869,CB501255A,IPPS,2/24/2022 1:00,Additional Glid
62763869,CB501255A,SB,1/27/2021 6:30,Additional Glid
62763872,CB492788A,IPPS,12/15/2021 3:05,Parent Glid
62763872,CB492788A,SB,6/29/2021 11:51,Parent Glid
62763872,CB501800A,IPPS,12/15/2021 3:05,Additional Glid
62763872,CB501800A,SB,6/29/2021 11:51,Additional Glid
62763872,CB501937A,IPPS,12/15/2021 3:05,Additional Glid
62763872,CB501937A,SB,6/29/2021 11:51,Additional Glid
62765063 CN WHT,CB502217,IPPS,10/16/2023 1:53,Parent Glid
62765063 CN WHT_RS,CB702108A,IPPS,10/16/2023 1:33,Parent Glid
62767254 WHT,CB533064A,IPPS,6/26/2023 0:17,Parent Glid
62773607 WHT,CB619388A,SB,3/20/2024 12:25,Parent Glid
62782476 WHT,CB727170A,IPPS,5/23/2024 4:46,Parent Glid
62782476 WHT,CB727170A,SB,4/23/2024 12:36,Parent Glid
62782477,CB727181A,IPPS,5/23/2024 23:43,Parent Glid
62782477,CB727181A,SB,4/23/2024 12:39,Parent Glid
62782511 WHT ONE ASIA,CB726881A,IPPS,4/24/2024 23:35,Parent Glid
62782511 WHT ONE ASIA,CB726881A,SB,4/23/2024 12:58,Parent Glid
